provider,city,id,device_type,name,latitude,longitude,address
newmotion,Paris,2882555,Type2,NewMotion,49.009531,2.565957,"{'streetAndNumber': 'Rue de Paris 45', 'postalCode': '93290', 'city': 'Tremblay-en-France', 'country': 'FRA'}"
newmotion,Paris,2882548,Type2,NewMotion,49.009531,2.565957,"{'streetAndNumber': 'Rue de Paris 45', 'postalCode': '93290', 'city': 'Tremblay-en-France', 'country': 'FRA'}"
newmotion,Paris,2882550,Type2,NewMotion,49.009531,2.565957,"{'streetAndNumber': 'Rue de Paris 45', 'postalCode': '93290', 'city': 'Tremblay-en-France', 'country': 'FRA'}"
newmotion,Paris,2882552,Type2,NewMotion,49.009531,2.565957,"{'streetAndNumber': 'Rue de Paris 45', 'postalCode': '93290', 'city': 'Tremblay-en-France', 'country': 'FRA'}"
newmotion,Paris,2882549,Type2,NewMotion,49.009531,2.565957,"{'streetAndNumber': 'Rue de Paris 45', 'postalCode': '93290', 'city': 'Tremblay-en-France', 'country': 'FRA'}"
newmotion,Paris,2882547,Type2,NewMotion,49.009531,2.565957,"{'streetAndNumber': 'Rue de Paris 45', 'postalCode': '93290', 'city': 'Tremblay-en-France', 'country': 'FRA'}"
newmotion,Paris,2597717,TepcoCHAdeMO,Belib,48.864719,2.359043,"{'streetAndNumber': 'Rue Réaumur 5', 'postalCode': '75003', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2623865,Domestic,Communauté d’Agglomération Paris,48.839853,2.654609,"{'streetAndNumber': 'Rue Léon Blum 2', 'postalCode': '77200', 'city': 'Torcy', 'country': 'FRA'}"
newmotion,Paris,2518864,TepcoCHAdeMO,Belib,48.897671,2.352758,"{'streetAndNumber': 'Rue des Poissonniers 150', 'postalCode': '75018', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2623877,Domestic,Communauté d’Agglomération Paris,48.833193,2.638477,"{'streetAndNumber': 'Rue des Campanules 1', 'postalCode': '77185', 'city': 'Lognes', 'country': 'FRA'}"
newmotion,Paris,2616493,Type2,NewMotion,48.911474,2.309709,"{'streetAndNumber': ""Allées de l'Europe 19"", 'postalCode': '92110', 'city': 'Clichy', 'country': 'FRA'}"
newmotion,Paris,2616567,Type2,NewMotion,48.911474,2.309709,"{'streetAndNumber': ""Allées de l'Europe 19"", 'postalCode': '92110', 'city': 'Clichy', 'country': 'FRA'}"
newmotion,Paris,2616566,Type2,NewMotion,48.911474,2.309709,"{'streetAndNumber': ""Allées de l'Europe 19"", 'postalCode': '92110', 'city': 'Clichy', 'country': 'FRA'}"
newmotion,Paris,2597745,TepcoCHAdeMO,Belib,48.852665,2.31368,"{'streetAndNumber': 'Avenue de Villars 9', 'postalCode': '75007', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2885680,Type2,Indigo,48.847019,2.34247,"{'streetAndNumber': 'Rue Soufflot', 'postalCode': '75005', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2554386,Domestic,Freshmile Charge,48.98,2.27439,"{'streetAndNumber': 'Rue des Bussys 22', 'postalCode': '95600', 'city': 'Eaubonne', 'country': 'FRA'}"
newmotion,Paris,2861774,Domestic,Concessionnaires Renault,48.748721,2.509139,"{'streetAndNumber': 'Avenue du Général Leclerc 51', 'postalCode': '94470', 'city': 'Boissy-Saint-Léger', 'country': 'FRA'}"
newmotion,Paris,2790558,TepcoCHAdeMO,Corri-Door,48.999802,2.522628,"{'streetAndNumber': 'Rue des 2 Cèdres', 'postalCode': '95700', 'city': 'Roissy-en-France', 'country': 'FRA'}"
newmotion,Paris,2554367,Domestic,Freshmile Charge,49.016,2.1775,"{'streetAndNumber': 'Chaussée Jules César 218', 'postalCode': '95250', 'city': 'Beauchamp', 'country': 'FRA'}"
newmotion,Paris,2795740,Type2,Virta,48.897151,2.219482,"{'streetAndNumber': '3 Place Marcel PauL', 'city': 'Nanterre', 'country': 'FRA'}"
newmotion,Paris,2887749,Domestic,Communauté d'agglomération Paris-Saclay,48.701092,2.134818,"{'streetAndNumber': 'Allée du Parc 10', 'postalCode': '91190', 'city': 'Gif-sur-Yvette', 'country': 'FRA'}"
newmotion,Paris,2885713,Type2,Indigo,48.86978,2.30402,"{'streetAndNumber': 'Rue Pierre Charron', 'postalCode': '75008', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2518851,TepcoCHAdeMO,Belib,48.875465,2.360103,"{'streetAndNumber': 'Rue du Faubourg Saint Martin 150', 'postalCode': '75010', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2484559,Type2,EV-Box,48.831022,2.289539,"{'streetAndNumber': 'Boulevard Lefebvre 36', 'postalCode': '75015', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2570694,Domestic,Freshmile Charge,48.9842,2.2277,"{'streetAndNumber': 'Rue du Général Leclerc 106', 'postalCode': '95130', 'city': 'Franconville', 'country': 'FRA'}"
newmotion,Paris,2867763,Domestic,Réseau SEY ma borne,48.842338,2.067053,"{'streetAndNumber': 'Rue André le Bourblanc 11', 'postalCode': '78590', 'city': 'Noisy-le-Roi', 'country': 'FRA'}"
newmotion,Paris,2868644,Type2,Virta,48.715057,2.57269,"{'streetAndNumber': 'Avenue de la butte Gayen', 'city': 'Santeny', 'country': 'FRA'}"
newmotion,Paris,2518871,TepcoCHAdeMO,Belib,48.88842,2.388149,"{'streetAndNumber': 'Rue Adolphe Mille 9', 'postalCode': '75019', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2887768,Domestic,Communauté d'agglomération Paris-Saclay,48.707249,2.237123,"{'streetAndNumber': 'Boulevard Nicolas Samson 39', 'postalCode': '91120', 'city': 'Palaiseau', 'country': 'FRA'}"
newmotion,Paris,2626105,Domestic,Communauté d’Agglomération Paris,48.827036,2.648352,"{'streetAndNumber': 'Avenue de l’Étang', 'postalCode': '77183', 'city': 'Croissy-Beaubourg', 'country': 'FRA'}"
newmotion,Paris,2795849,Type2,Virta,48.8977,2.2227,"{'streetAndNumber': '7 Boulevard des Bouvets', 'city': 'Nanterre', 'country': 'FRA'}"
newmotion,Paris,2570715,Domestic,Haute Vallée de Chevreuse,48.715224,2.081791,"{'streetAndNumber': ""Rue du Château d'Eau  19"", 'postalCode': '78470', 'city': 'Saint-Rémy-lès-Chevreuse', 'country': 'FRA'}"
newmotion,Paris,2790582,Domestic,Communauté d’Agglomération Paris,48.840556,2.589339,"{'streetAndNumber': 'Avenue Blaise Pascal 6', 'postalCode': '77420', 'city': 'Champs-sur-Marne', 'country': 'FRA'}"
newmotion,Paris,2620695,Type2,EV-Box,48.756812,1.982182,"{'streetAndNumber': 'Avenue des Frères Lumière 50', 'postalCode': '78190', 'city': 'Trappes', 'country': 'FRA'}"
newmotion,Paris,2554406,Domestic,Freshmile Charge,49.0134,2.19591,"{'streetAndNumber': 'Avenue Roger Salengro 49', 'postalCode': '95250', 'city': 'Beauchamp', 'country': 'FRA'}"
newmotion,Paris,2795517,Type2,Marché International de Rungis,48.758701,2.357973,"{'streetAndNumber': 'Rue de Nîmes 94150 Rungis', 'city': 'Rungis', 'country': 'FRA'}"
newmotion,Paris,2597705,TepcoCHAdeMO,Belib,48.86154,2.31159,"{'streetAndNumber': 'Rue Fabert 22', 'postalCode': '75007', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2790564,TepcoCHAdeMO,Corri-Door,49.009323,2.537369,"{'streetAndNumber': ""Rue de l'Or 1"", 'postalCode': '95700', 'city': 'Roissy-en-France', 'country': 'FRA'}"
newmotion,Paris,2885675,Type3,Indigo,48.9701,2.3085,"{'streetAndNumber': 'Rue de Malleville', 'postalCode': '95880', 'city': 'Enghien-les-Bains', 'country': 'FRA'}"
newmotion,Paris,2721400,Domestic,Freshmile Charge,48.8019,2.13031,"{'streetAndNumber': 'Avenue de Paris 4', 'postalCode': '78000', 'city': 'Versailles', 'country': 'FRA'}"
newmotion,Paris,2709266,TepcoCHAdeMO,Belib,48.84998,2.36192,"{'streetAndNumber': 'Quai Henri IV 4', 'postalCode': '75004', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2762490,Domestic,Bornes Solutions,48.777098,2.242489,"{'streetAndNumber': 'Avenue Descartes 15', 'postalCode': '92350', 'city': 'Le Plessis-Robinson', 'country': 'FRA'}"
newmotion,Paris,2656579,Domestic,SMOYS - Syndicat Mixte Orge Yvette Seine,48.712387,2.363134,"{'streetAndNumber': 'Avenue Victor Hugo', 'postalCode': '91550', 'city': 'Paray-Vieille-Poste', 'country': 'FRA'}"
newmotion,Paris,2656603,Domestic,SMOYS - Syndicat Mixte Orge Yvette Seine,48.703182,2.320485,"{'streetAndNumber': 'Avenue Charles de Gaulle 5', 'postalCode': '91380', 'city': 'Chilly-Mazarin', 'country': 'FRA'}"
newmotion,Paris,2657654,Domestic,Freshmile Charge,48.9351,2.25396,"{'streetAndNumber': 'Boulevard de Valmy 165', 'postalCode': '92700', 'city': 'Colombes', 'country': 'FRA'}"
newmotion,Paris,2523103,Domestic,Freshmile Charge,48.9734,2.20301,"{'streetAndNumber': 'Rue des Carrières', 'postalCode': '95240', 'city': 'Cormeilles-en-Parisis', 'country': 'FRA'}"
newmotion,Paris,2867717,Domestic,Réseau SEY ma borne,48.862292,2.112804,"{'streetAndNumber': 'Rue Du Professeur Guyon', 'postalCode': '78430', 'city': 'Louveciennes', 'country': 'FRA'}"
newmotion,Paris,2815494,Type2,Electric 55 Charging,48.921675,2.445813,"{'streetAndNumber': 'Rue Marcelin Berthelot 2', 'postalCode': '93700', 'city': 'Drancy', 'country': 'FRA'}"
newmotion,Paris,2597725,TepcoCHAdeMO,Belib,48.879654,2.302442,"{'streetAndNumber': 'Rue de Courcelles 83', 'postalCode': '75017', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2554419,Domestic,Freshmile Charge,48.9761,2.2562,"{'streetAndNumber': 'Rue du Lieutenant Georges Keiser', 'postalCode': '95110', 'city': 'Sannois', 'country': 'FRA'}"
newmotion,Paris,2657679,Domestic,Freshmile Charge,48.9769,2.1991,"{'streetAndNumber': 'Avenue Emelie 9', 'postalCode': '95240', 'city': 'Cormeilles-en-Parisis', 'country': 'FRA'}"
newmotion,Paris,2770346,Domestic,Réseau SEY ma borne - Communauté Urbaine Grand Paris Seine & Oise,48.979145,1.974997,"{'streetAndNumber': 'D154', 'postalCode': '78480', 'city': 'Verneuil-sur-Seine', 'country': 'FRA'}"
newmotion,Paris,2708775,Type2,NewMotion,48.774219,2.487435,"{'streetAndNumber': ""Rue d'Estienne d'Orves 7"", 'postalCode': '94380', 'city': 'Bonneuil-sur-Marne', 'country': 'FRA'}"
newmotion,Paris,2523096,Domestic,Freshmile Charge,48.9686,2.24037,"{'streetAndNumber': 'Allée de Cormeilles', 'postalCode': '95110', 'city': 'Sannois', 'country': 'FRA'}"
newmotion,Paris,2795512,Type2,Marché International de Rungis,48.75694,2.3652,"{'streetAndNumber': 'Rue du Gers 94150 Rungis', 'city': 'Rungis', 'country': 'FRA'}"
newmotion,Paris,2813749,Type2,Virta,48.750517,2.533775,"{'streetAndNumber': '3 Avenue Charles Lindberg', 'city': 'RUNGIS', 'country': 'FRA'}"
newmotion,Paris,2813746,Type2,Virta,48.750517,2.533775,"{'streetAndNumber': '3 avenue Lindberg', 'city': 'Rungis', 'country': 'FRA'}"
newmotion,Paris,2554401,Domestic,Freshmile Charge,48.9843,2.2361,"{'streetAndNumber': '3ème Avenue 117', 'postalCode': '95130', 'city': 'Franconville', 'country': 'FRA'}"
newmotion,Paris,2770405,Domestic,Réseau SEY ma borne,48.874525,1.974039,"{'streetAndNumber': 'Grande Rue 39', 'postalCode': '78810', 'city': 'Feucherolles', 'country': 'FRA'}"
newmotion,Paris,2518875,TepcoCHAdeMO,Belib,48.834705,2.305529,"{'streetAndNumber': 'Rue de Vouillé 25', 'postalCode': '75015', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2518849,TepcoCHAdeMO,Belib,48.89061,2.35423,"{'streetAndNumber': 'Rue Ordener 27', 'postalCode': '75018', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2885654,Type2,Indigo,48.851196,2.333565,"{'streetAndNumber': 'Place Saint-Sulpice', 'postalCode': '75006', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2554368,Domestic,Freshmile Charge,49.0271,2.2126,"{'streetAndNumber': 'Place des 7 Fontaines 8', 'postalCode': '95150', 'city': 'Taverny', 'country': 'FRA'}"
newmotion,Paris,2885706,Type2,Indigo,48.8909,2.24699,"{'streetAndNumber': 'Liaison Médiane', 'postalCode': '92400', 'city': 'Courbevoie', 'country': 'FRA'}"
newmotion,Paris,2885688,Type2,Indigo,48.8909,2.24699,"{'streetAndNumber': 'Liaison Médiane', 'postalCode': '92400', 'city': 'Courbevoie', 'country': 'FRA'}"
newmotion,Paris,2815492,Type2,Electric 55 Charging,48.838587,2.18696,"{'streetAndNumber': 'Boulevard du Général de Gaulle', 'postalCode': '92380', 'city': 'Garches', 'country': 'FRA'}"
newmotion,Paris,2533712,Type2,NewMotion,48.726832,2.570839,"{'streetAndNumber': 'Route de Marolles 1', 'postalCode': '94440', 'city': 'Santeny', 'country': 'FRA'}"
newmotion,Paris,2887757,Domestic,Communauté d'agglomération Paris-Saclay,48.697315,2.181948,"{'streetAndNumber': 'Boulevard Dubreuil 41', 'postalCode': '91400', 'city': 'Orsay', 'country': 'FRA'}"
newmotion,Paris,2601892,Type2,NewMotion,48.81768,2.260285,"{'streetAndNumber': ""POUR RESIDENTS UNIQUEMENT - Rue d'Erevan 42"", 'postalCode': '92130', 'city': 'Issy-les-Moulineaux', 'country': 'FRA'}"
newmotion,Paris,2570713,Domestic,Haute Vallée de Chevreuse,48.705908,2.045842,"{'streetAndNumber': 'Rue Charles Michels 10', 'postalCode': '78460', 'city': 'Chevreuse', 'country': 'FRA'}"
newmotion,Paris,2570724,Domestic,Haute Vallée de Chevreuse,48.698864,2.066867,"{'streetAndNumber': 'Rue de la Digue  2', 'postalCode': '78470', 'city': 'Saint-Rémy-lès-Chevreuse', 'country': 'FRA'}"
newmotion,Paris,2815392,Domestic,Effia Stationnement Vincennes,48.850669,2.440834,"{'streetAndNumber': 'Rue Diderot 48', 'postalCode': '94300', 'city': 'Vincennes', 'country': 'FRA'}"
newmotion,Paris,2597707,TepcoCHAdeMO,Belib,48.861016,2.28308,"{'streetAndNumber': 'Avenue Paul Doumer 24', 'postalCode': '75016', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2619426,Type2,EV-Box,48.8905571,2.2639456,"{'streetAndNumber': 'Boulevard de la Saussaye 13', 'postalCode': '92200', 'city': 'Neuilly-sur-Seine', 'country': 'FRA'}"
newmotion,Paris,2887780,Domestic,Communauté d'agglomération Paris-Saclay,48.737225,2.295414,"{'streetAndNumber': 'Allée de la Sologne 4', 'postalCode': '91300', 'city': 'Massy', 'country': 'FRA'}"
newmotion,Paris,2887769,Domestic,Communauté d'agglomération Paris-Saclay,48.730156,2.259031,"{'streetAndNumber': 'Place Saint Fiacre 3', 'postalCode': '91300', 'city': 'Massy', 'country': 'FRA'}"
newmotion,Paris,2597712,TepcoCHAdeMO,Belib,48.857552,2.30437,"{'streetAndNumber': 'Avenue Bosquet', 'postalCode': '75007', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2887764,Domestic,Communauté d'agglomération Paris-Saclay,48.698582,2.187464,"{'streetAndNumber': 'Rue Archange 1', 'postalCode': '91400', 'city': 'Orsay', 'country': 'FRA'}"
newmotion,Paris,2815370,Domestic,Freshmile Charge,48.7617,2.672,"{'streetAndNumber': 'Avenue du Général de Gaulle 45', 'postalCode': '77330', 'city': 'Ozoir-la-Ferrière', 'country': 'FRA'}"
newmotion,Paris,2518868,TepcoCHAdeMO,Belib,48.863602,2.27153,"{'streetAndNumber': 'Avenue Henri Martin 101', 'postalCode': '75016', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2626654,TepcoCHAdeMO,Belib,48.835499,2.34965,"{'streetAndNumber': 'Rue Berbier du Mets 24', 'postalCode': '75013', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2563649,Type2,EV-Box,48.756901,1.982147,"{'streetAndNumber': 'Avenue des Fr\x9dres Lumi\x9dre 50', 'postalCode': '78190', 'city': 'Trappes', 'country': 'FRA'}"
newmotion,Paris,2791674,Domestic,Réseau SEY ma borne,48.873256,2.104106,"{'streetAndNumber': ""Rue de l'Égalité"", 'postalCode': '78560', 'city': 'Le Port-Marly', 'country': 'FRA'}"
newmotion,Paris,2795718,Type2,Virta,48.897151,2.219483,"{'streetAndNumber': '3 Place Marcel Paul', 'city': 'Nanterre', 'country': 'FRA'}"
newmotion,Paris,2885641,Type2,Indigo,48.787258,2.228398,"{'streetAndNumber': 'Rue Bernard Delpuech', 'postalCode': '92360', 'city': 'Meudon', 'country': 'FRA'}"
newmotion,Paris,2657673,Domestic,Freshmile Charge,48.8973,2.37929,"{'streetAndNumber': 'Rue de Cambrai 11', 'postalCode': '75019', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2569357,Type2,NewMotion,48.974933,2.328421,"{'streetAndNumber': 'rue Charles de Gaulle 36', 'postalCode': '95170', 'city': 'Deuil-La Barre', 'country': 'FRA'}"
newmotion,Paris,2795635,Type2,Virta,48.897151,2.219481,"{'streetAndNumber': '3 Place Marcel Paul', 'city': 'Nanterre', 'country': 'FRA'}"
newmotion,Paris,2795597,Type2,Virta,48.897151,2.219481,"{'streetAndNumber': '3 Place Marcel Paul', 'city': 'Nanterre', 'country': 'FRA'}"
newmotion,Paris,2795832,Type2,Virta,48.8938,2.2261,"{'streetAndNumber': '132 RUE DES 3 FONTANOTS', 'city': 'Nanterre', 'country': 'FRA'}"
newmotion,Paris,2049728,Type2,NewMotion,48.79947,2.124731,"{'streetAndNumber': 'Rue du Général Leclerc 4', 'postalCode': '78000', 'city': 'Versailles', 'country': 'FRA'}"
newmotion,Paris,2049730,Type2,NewMotion,48.79947,2.124731,"{'streetAndNumber': 'Rue du Général Leclerc 4', 'postalCode': '78000', 'city': 'Versailles', 'country': 'FRA'}"
newmotion,Paris,2056125,Type2,NewMotion,48.79947,2.124731,"{'streetAndNumber': 'Rue du Général Leclerc 4', 'postalCode': '78000', 'city': 'Versailles', 'country': 'FRA'}"
newmotion,Paris,2056123,Type2,NewMotion,48.79947,2.124731,"{'streetAndNumber': 'Rue du Général Leclerc 4', 'postalCode': '78000', 'city': 'Versailles', 'country': 'FRA'}"
newmotion,Paris,2056124,Type2,NewMotion,48.79947,2.124731,"{'streetAndNumber': 'Rue du Général Leclerc 4', 'postalCode': '78000', 'city': 'Versailles', 'country': 'FRA'}"
newmotion,Paris,2056122,Type2,NewMotion,48.79947,2.124731,"{'streetAndNumber': 'Rue du Général Leclerc 4', 'postalCode': '78000', 'city': 'Versailles', 'country': 'FRA'}"
newmotion,Paris,2887788,Domestic,Communauté d'agglomération Paris-Saclay,48.703136,2.191479,"{'streetAndNumber': 'Rue Charles de Gaulle 22', 'postalCode': '91400', 'city': 'Orsay', 'country': 'FRA'}"
newmotion,Paris,2893332,Domestic,Concessionnaires PSA,48.72118,2.284184,"{'streetAndNumber': 'Avenue du Maréchal Juin 13', 'postalCode': '91300', 'city': 'Massy', 'country': 'FRA'}"
newmotion,Paris,2762502,Domestic,Ze-Watt,48.992803,2.520178,"{'streetAndNumber': 'Rue des Buissons 30 AFRICA LODGE', 'postalCode': '95700', 'city': 'Roissy-en-France', 'country': 'FRA'}"
newmotion,Paris,2597706,TepcoCHAdeMO,Belib,48.845715,2.345032,"{'streetAndNumber': 'Place du Panthéon 17', 'postalCode': '75005', 'city': 'Paris', 'country': 'FRA'}"
newmotion,Paris,2554380,Domestic,Freshmile Charge,48.9914,2.1658,"{'streetAndNumber': 'Place de la Halle 4', 'postalCode': '95220', 'city': 'Herblay-sur-Seine', 'country': 'FRA'}"
newmotion,Paris,2785156,Type2,NewMotion,48.850484,2.185144,"{'streetAndNumber': 'Rue du 19 Janvier 60', 'postalCode': '92380', 'city': 'Garches', 'country': 'FRA'}"
newmotion,Paris,2785020,Type2,NewMotion,48.850484,2.185144,"{'streetAndNumber': 'Rue du 19 Janvier 60', 'postalCode': '92380', 'city': 'Garches', 'country': 'FRA'}"
newmotion,Paris,2867713,Domestic,Réseau SEY ma borne - Communauté Urbaine Grand Paris Seine & Oise,48.955661,2.072183,"{'streetAndNumber': 'Rue de Saint-Germain 51', 'postalCode': '78260', 'city': 'Achères', 'country': 'FRA'}"
newmotion,Paris,2492936,Domestic,Effia,48.980586,2.268412,"{'streetAndNumber': 'Rue Raoul Dautry 1', 'postalCode': '95120', 'city': 'Ermont', 'country': 'FRA'}"
newmotion,Paris,2623927,Domestic,Driveco - LM,48.9324,2.3212,"{'streetAndNumber': 'Avenue du Vieux Chemin de Saint-Denis 121', 'postalCode': '92230', 'city': 'Gennevilliers', 'country': 'FRA'}"
newmotion,Paris,2554378,Domestic,Freshmile Charge,48.9658,2.20925,"{'streetAndNumber': ""Rue du Noyer de l'Image 42"", 'postalCode': '95240', 'city': 'Cormeilles-en-Parisis', 'country': 'FRA'}"
